UniProt,Gene Name,Confidence,Expected Sensitivity,Expected Specificity
P15882,CHN1,0.08981765,0.788712067,0.070960771
O43592,XPOT,0.739802985,0.497314209,0.456120052
Q99653,CHP1,0.931510138,0.338034331,0.969108108
Q9UMR2,DDX19B,0.798872298,0.293284886,0.886571184
Q6PEY2,TUBA3E,0.080481904,0.805427505,0.050856449
Q96T60,PNKP,0.294888533,0.511512426,0.944829885
Q9HCN4,GPN1,0.63782686,0.881866774,0.380390627
Q9Y279,VSIG4,0.680309998,0.430867222,0.471546985
Q96GM8,TOE1,0.16664053,0.440323122,0.139737471
Q9BZF3,OSBPL6,0.275980548,0.901950624,0.920027224
P12532,CKMT1A,0.719292092,0.132075264,0.403893605
Q96CW1,AP2M1,0.194393292,0.444481157,0.060986966
Q96BP2,CHCHD1,0.306507686,0.796547766,0.516583602
Q00610,CLTC,0.345957116,0.031503454,0.647112484
Q3MHD2,LSM12,0.996854845,0.485766397,0.512148717
Q5VYV7,SLX4IP,0.854281798,0.962972117,0.143979651
Q9H444,CHMP4B,0.029954005,0.02906038,0.318352992
Q8WV92,MITD1,0.365874068,0.718298558,0.441640883
P21964,COMT,0.469411696,0.292964983,0.893338254
O15432,SLC31A2,0.717798455,0.734888825,0.231782898
P13073,COX4I1,0.324814167,0.925627699,0.06067569
P14854,COX6B1,0.89310779,0.40783928,0.348138334
Q8NI36,WDR36,0.323968013,0.2103463,0.015269418
Q96RJ0,TAAR1,0.643237286,0.62234446,0.119439794
Q8TDX7,NEK7,0.927331159,0.75659145,0.745467445
Q969M7,UBE2F,0.600595712,0.147985727,0.889238613
Q9UKK3,PARP4,0.738586576,0.864877274,0.858542605
Q96AJ9,VTI1A,0.599928588,0.482982608,0.60922073
P55060,CSE1L,0.076335037,0.102603311,0.781919178
Q32P51,HNRNPA1L2,0.225856913,0.519101036,0.943713287
P48730,CSNK1D,0.518477878,0.944845939,0.240832021
Q96AY2,EME1,0.3032831,0.496178684,0.761530007
P33240,CSTF2,0.576687046,0.794608852,0.238661165
Q12996,CSTF3,0.263821234,0.361973681,0.833281841
Q6ZPD9,DPY19L3,0.886609872,0.09438321,0.314761492
Q5VW32,BROX,0.480231043,0.485404299,0.798897252
Q8NEW0,SLC30A7,0.521711662,0.474739527,0.357580155
P07858,CTSB,0.9207914,0.338295541,0.680251532
P07339,CTSD,0.427128873,0.017434012,0.979725069
P08311,CTSG,0.860692212,0.831035334,0.519659416
Q7Z7J5,DPPA2,0.760939528,0.463549092,0.153623686
Q96NC0,ZMAT2,0.276375874,0.117510421,0.059115751
Q8N0U8,VKORC1L1,0.562202832,0.638498201,0.615048461
Q5VTE0,EEF1A1P5,0.421082605,0.786505038,0.200209162
Q6IPX3,TCEAL6,0.890160036,0.074882541,0.7897441
Q86U38,NOP9,0.9718616,0.376369666,0.008837851
P14868,DARS,0.964270048,0.149538364,0.538838377
Q8NAF0,ZNF579,0.045930008,0.197542795,0.564276424
Q8NFQ8,TOR1AIP2,0.371983719,0.051497861,0.230683731
Q92466,DDB2,0.94061508,0.104343979,0.718186956
Q92499,DDX1,0.656281141,0.819728528,0.947219107
P26196,DDX6,0.687916887,0.034011758,0.435845623
O43143,DHX15,0.98528117,0.124099948,0.133310888
O60220,TIMM8A,0.956310624,0.705530738,0.774964342
Q7RTU3,OLIG3,0.294229542,0.747851286,0.668344032
Q9H2U1,DHX36,0.516714834,0.933458123,0.700896796
Q8WWP7,GIMAP1,0.655127931,0.335707823,0.677789677
Q8TF68,ZNF384,0.42676222,0.288468226,0.615378053
Q15392,DHCR24,0.297970031,0.172861394,0.707234107
O60610,DIAPH1,0.925368438,0.717449564,0.723515656
Q14204,DYNC1H1,0.253566969,0.18686114,0.003429334
Q13409,DYNC1I2,0.296740573,0.592999563,0.047536899
Q99704,DOK1,0.227709417,0.066829878,0.624913394
Q99856,ARID3A,0.768797811,0.435333745,0.297465769
Q14574,DSC3,0.433714757,0.351460932,0.744626557
P15924,DSP,0.608253618,0.798426014,0.884456697
O14656,TOR1A,0.711562074,0.575675939,0.790328996
P23526,AHCY,0.357441755,0.477024296,0.986047973
Q96HS1,PGAM5,0.892449337,0.703509072,0.278181848
Q15717,ELAVL1,0.921165967,0.825779461,0.662276496
Q8IUX4,APOBEC3F,0.659543723,0.36866513,0.605190282
P50402,EMD,0.642145409,0.325291172,0.490701266
Q8NFG4,FLCN,0.776908319,0.983245914,0.204405308
Q8IY95,TMEM192,0.6148405,0.464876849,0.512558542
P07437,TUBB,0.226932263,0.725260359,0.625438565
Q3ZAQ7,VMA21,0.486719425,0.967689371,0.173126907
P07814,EPRS,0.752869384,0.510471087,0.272029293
P07992,ERCC1,0.732974656,0.052850095,0.713934808
Q92889,ERCC4,0.564513075,0.184680887,0.514333232
P84090,ERH,0.711222893,0.65329045,0.939771953
P22087,FBL,0.564865231,0.427719922,0.989268015
Q01844,EWSR1,0.033331048,0.600503217,0.645433553
O95573,ACSL3,0.489044883,0.701975364,0.610816761
P62861,FAU,0.500909656,0.304079342,0.253176875
Q2T9J0,TYSND1,0.582878052,0.171425609,0.386467011
P98095,FBLN2,0.016887177,0.497085602,0.877779071
P35556,FBN2,0.324042135,0.631113786,0.414756904
Q12805,EFEMP1,0.391561176,0.234623015,0.145259352
P51991,HNRNPA3,0.54450184,0.091460783,0.222382183
Q8NC56,LEMD2,0.723094915,0.965829328,0.041351533
Q8NCG7,DAGLB,0.656678481,0.972476987,0.304163463
Q7Z7H5,TMED4,0.770744039,0.70424598,0.307342136
P49189,ALDH9A1,0.26014212,0.80107872,0.851228801
P22830,FECH,0.437503378,0.440551505,0.796173658
Q13642,FHL1,0.255695456,0.691810802,0.060471632
O15234,CASC3,0.257953112,0.735375745,0.148009273
Q02790,FKBP4,0.028757839,0.513012511,0.901595431
O95208,EPN2,0.336581914,0.660724847,0.70833831
Q7L2E3,DHX30,0.929965259,0.430119755,0.622540173
Q8IXJ6,SIRT2,0.13147327,0.707411935,0.963945375
Q9BWU0,SLC4A1AP,0.684620715,0.59850463,0.692978513
Q12948,FOXC1,0.571038609,0.225950793,0.064730635
Q14690,PDCD11,0.891601301,0.842307737,0.941311476
Q9UKV3,ACIN1,0.774741226,0.735370872,0.145443222
Q8NE71,ABCF1,0.999203906,0.936557578,0.461148331
Q15024,EXOSC7,0.150333373,0.438553777,0.050040813
O75643,SNRNP200,0.64829737,0.471279804,0.735573442
Q7Z3U7,MON2,0.530970187,0.164943657,0.587530917
O75037,KIF21B,0.662552426,0.331948397,0.064635016
Q9NTI5,PDS5B,0.460177889,0.702271237,0.289208002
O94919,ENDOD1,0.103078773,0.745160714,0.454625235
Q8N766,EMC1,0.377773274,0.772839944,0.28775647
O75155,CAND2,0.993946871,0.71250707,0.036617242
Q9BS26,ERP44,0.494561079,0.282778194,0.260021143
Q14315,FLNC,0.581564837,0.430725937,0.564492921
Q14696,MESDC2,0.038094104,0.687729203,0.724752837
Q9UKL0,RCOR1,0.154973229,0.039375744,0.18937586
Q14697,GANAB,0.971857323,0.439581324,0.934932909
Q29RF7,PDS5A,0.44735616,0.66241857,0.226188818
Q9UKB1,FBXW11,0.461463893,0.013746658,0.685757582
Q86US8,SMG6,0.895826551,0.675282993,0.171892294
Q8TD16,BICD2,0.062960523,0.587234135,0.096849862
Q8IWV8,UBR2,0.919823808,0.38435009,0.622821363
P42695,NCAPD3,0.423650381,0.868810197,0.932604669
Q06787,FMR1,0.571045295,0.936938849,0.573631916
Q96PU5,NEDD4L,0.976444156,0.292393954,0.398758705
Q2PZI1,DPY19L1,0.495221141,0.801146411,0.100230944
Q8NF91,SYNE1,0.901480177,0.669922143,0.790004877
Q5T4S7,UBR4,0.503751403,0.71208534,0.770671129
O94901,SUN1,0.876616351,0.238745243,0.212744467
Q9NZN5,ARHGEF12,0.175213756,0.727901317,0.702212581
Q8TB72,PUM2,0.103991233,0.241800652,0.276473075
Q96HN2,AHCYL2,0.377296755,0.76230885,0.843417794
Q15003,NCAPH,0.404244104,0.453872689,0.153369396
Q9NQ11,ATP13A2,0.858314866,0.986034839,0.378486106
Q9NTG7,SIRT3,0.551649591,0.524980981,0.990522923
Q96EB6,SIRT1,0.308456781,0.801270447,0.480364448
P49590,HARS2,0.261561427,0.939846446,0.019992807
Q15393,SF3B3,0.363711939,0.031206182,0.184991844
O75533,SF3B1,0.58121735,0.971236249,0.674265118
Q9NRK6,ABCB10,0.300175276,0.126278138,0.771862094
Q15629,TRAM1,0.77156887,0.337226875,0.91835583
O00541,PES1,0.614647117,0.57599431,0.029470395
Q15022,SUZ12,0.699643879,0.028368093,0.275775948
P42285,SKIV2L2,0.166967831,0.218751668,0.513744392
O43423,ANP32C,0.161148428,0.243468779,0.676052611
Q9UQ35,SRRM2,0.818610532,0.526326713,0.544532905
Q15057,ACAP2,0.317373542,0.288483139,0.590879796
Q9BZE4,GTPBP4,0.353557924,0.663237161,0.196661717
Q9Y3P9,RABGAP1,0.482421838,0.939629604,0.723495134
Q6P2E9,EDC4,0.713883926,0.954006657,0.107565027
Q9HCN8,SDF2L1,0.532977166,0.823475317,0.442561988
Q14318,FKBP8,0.635871129,0.300990189,0.298236903
Q9NZJ7,MTCH1,0.727344475,0.695749054,0.850026255
Q9Y6C9,MTCH2,0.824183424,0.84951773,0.803271012
Q9BYC5,FUT8,0.075634928,0.123043402,0.494738163
Q8NAP3,ZBTB38,0.198695654,0.54810011,0.117377258
Q7Z739,YTHDF3,0.433768795,0.324878874,0.464175799
Q32P44,EML3,0.749101814,0.828621697,0.785021056
Q5BKY9,FAM133B,0.176067608,0.295643969,0.027372092
O14976,GAK,0.918174507,0.040372521,0.200764516
Q9UBB4,ATXN10,0.612885316,0.057603695,0.913000818
O75953,DNAJB5,0.11305634,0.83881404,0.726421815
Q6KC79,NIPBL,0.6244341,0.911417155,0.11601947
Q8NBJ7,SUMF2,0.254537537,0.054853141,0.863722429
Q8WYP5,AHCTF1,0.250796643,0.022801771,0.552582171
Q6DD88,ATL3,0.560328298,0.459813099,0.322539288
Q9H3S7,PTPN23,0.244931298,0.909581577,0.796573212
Q8NCA5,FAM98A,0.958323528,0.3732891,0.262346827
Q69YN4,KIAA1429,0.069613504,0.757406248,0.253373775
P04406,GAPDH,0.363840125,0.78542773,0.503531183
Q9H4L5,OSBPL3,0.702044317,0.731353805,0.096006185
O75179,ANKRD17,0.962430087,0.601570722,0.529340517
Q9Y2S7,POLDIP2,0.382804766,0.407123398,0.675252636
Q5JTV8,TOR1AIP1,0.966969177,0.170163153,0.517155976
Q8WWY3,PRPF31,0.05834079,0.932517236,0.528101756
Q8NC51,SERBP1,0.69923008,0.707959524,0.496921127
O76021,RSL1D1,0.47341632,0.270048323,0.834125415
Q9H4L4,SENP3,0.510965885,0.117234005,0.041673552
Q9NRD1,FBXO6,0.708643532,0.145313132,0.07455532
Q9UK99,FBXO3,0.956131565,0.53348916,0.577427127
O75323,GBAS,0.102079902,0.060842323,0.214280855
Q9BVP2,GNL3,0.82440802,0.31863966,0.805762403
P30047,GCHFR,0.006119463,0.439217138,0.693426351
Q9Y5L4,TIMM13,0.957361545,0.579470714,0.84100952
Q9Y5J9,TIMM8B,0.196757894,0.349228784,0.201237422
Q96EP5,DAZAP1,0.68202643,0.206882392,0.816467271
Q9NY61,AATF,0.858447634,0.818284272,0.699156418
O60518,RANBP6,0.872026802,0.089657024,0.924387716
Q9Y2T2,AP3M1,0.371107403,0.153750752,0.686936924
Q9ULX6,AKAP8L,0.00810621,0.858433447,0.316000411
Q7KZF4,SND1,0.923022682,0.989222082,0.151288363
Q9NUL3,STAU2,0.84976886,0.846026397,0.491339613
O75529,TAF5L,0.943614257,0.393059973,0.054772152
Q9UHB7,AFF4,0.86067033,0.772629779,0.494515928
Q9UKV8,AGO2,0.983140203,0.378799023,0.154556094
Q9UN37,VPS4A,0.153742195,0.147713164,0.166239987
Q9UHF5,IL17B,0.822007427,0.602843968,0.080245705
Q9Y4L5,RNF115,0.582336709,0.532093103,0.535812903
Q9UMS0,NFU1,0.19757389,0.275627644,0.268603546
Q96DZ1,ERLEC1,0.271637752,0.007538099,0.327742451
Q9UNQ2,DIMT1,0.269069038,0.14409566,0.470915062
P49418,AMPH,0.348246473,0.928123064,0.001066439
Q14966,ZNF638,0.747516625,0.765375222,0.219831026
Q9UBQ5,EIF3K,0.020645161,0.670389791,0.654607501
Q9UMS4,PRPF19,0.241258579,0.909842087,0.618698154
Q92896,GLG1,0.206413321,0.600701813,0.764996526
P00367,GLUD1,0.119254274,0.750062036,0.724753736
P04899,GNAI2,0.980924679,0.507425575,0.606824831
Q92805,GOLGA1,0.547318474,0.750951188,0.248198776
P51674,GPM6A,0.590676236,0.636529664,0.246988926
Q13491,GPM6B,0.913976336,0.546999093,0.339565905
Q52LJ0,FAM98B,0.935601911,0.142280879,0.916193673
Q8NC24,RELL2,0.763939282,0.068567482,0.210759044
P01733,TRBV12-3,0.712516843,0.148692585,0.543954311
P01850,TRBC1,0.304471644,0.263099799,0.541576761
Q13098,GPS1,0.421688887,0.291501701,0.025548691
Q13227,GPS2,0.789893896,0.927855071,0.664709486
Q9Y2Q9,MRPS28,0.52394745,0.648359057,0.173162364
Q9Y6E2,BZW2,0.158410738,0.843965383,0.697282121
Q9Y6G3,MRPL42,0.342284075,0.326829801,0.702615432
Q9BYW2,SETD2,0.307389916,0.849209692,0.066016395
Q9UI47,CTNNA3,0.018096673,0.476106893,0.610364207
P05141,SLC25A5,0.451028611,0.093920828,0.352761867
P30101,PDIA3,0.811261413,0.194745428,0.220463308
P12236,SLC25A6,0.011538697,0.621139096,0.024385968
P15170,GSPT1,0.838260066,0.491525263,0.715816976
Q9NTK5,OLA1,0.056812692,0.357145649,0.94343117
Q9P0U3,SENP1,0.9321171,0.591819003,0.175494091
Q9UJX6,ANAPC2,0.095140471,0.763908066,0.553433862
Q9Y5Z7,HCFC2,0.557817474,0.46180955,0.339547697
Q96C36,PYCR2,0.564533604,0.341195917,0.55706009
P61619,SEC61A1,0.349930595,0.649470587,0.904669689
Q96G23,CERS2,0.250279489,0.922650676,0.932947404
Q9P1T7,MDFIC,0.990011286,0.489159212,0.289987649
Q9UMX0,UBQLN1,0.492496018,0.879478857,0.031314781
Q9NZM5,GLTSCR2,0.044389287,0.900955944,0.115182711
Q96B97,SH3KBP1,0.074756251,0.746272812,0.520515686
P16402,HIST1H1D,0.034133174,0.520886816,0.847412187
P07355,ANXA2,0.072704282,0.374952293,0.719524526
P40939,HADHA,0.652274551,0.032806394,0.882586518
P55084,HADHB,0.228246177,0.90250294,0.140962934
P51610,HCFC1,0.262947363,0.676414621,0.209232356
Q9P0U4,CXXC1,0.390063202,0.333407487,0.80731359
Q5QJE6,DNTTIP2,0.470153056,0.258475072,0.006059501
Q9UJZ1,STOML2,0.003444425,0.208555512,0.822826651
P31629,HIVEP2,0.223931968,0.742336009,0.688318352
P52789,HK2,0.586135653,0.300714153,0.08274559
P05534,HLA-A,0.397208521,0.94028061,0.031170429
P30505,HLA-C,0.800560265,0.181147839,0.358880967
Q95460,MR1,0.43643187,0.480874672,0.598961889
P09429,HMGB1,0.515692741,0.36795624,0.50428497
P26583,HMGB2,0.483101542,0.395191265,0.160205539
P05204,HMGN2,0.716646751,0.736636309,0.20695165
P17096,HMGA1,0.572761522,0.08345925,0.358270096
P22736,NR4A1,0.053129807,0.341588512,0.713573862
P22626,HNRNPA2B1,0.100031517,0.148666304,0.632428079
Q99729,HNRNPAB,0.362225859,0.505426718,0.149688985
Q14103,HNRNPD,0.861004831,0.398611351,0.936438541
P52597,HNRNPF,0.649273868,0.310148813,0.200207491
P31943,HNRNPH1,0.815757222,0.631318938,0.951217372
P55795,HNRNPH2,0.517716667,0.586661018,0.489677829
P31942,HNRNPH3,0.853303136,0.105059514,0.654211995
P14866,HNRNPL,0.746964398,0.864632767,0.569755172
Q00839,HNRNPU,0.691182205,0.704608921,0.771038823
P13378,HOXD8,0.075464637,0.500659983,0.853213064
P00739,HPR,0.333043689,0.138628885,0.042852868
P55345,PRMT2,0.048892488,0.083134226,0.986016103
P27695,APEX1,0.408364525,0.5266676,0.403611029
P25686,DNAJB2,0.962162139,0.834333599,0.79854181
P34931,HSPA1L,0.263874109,0.7149081,0.242284074
P48741,HSPA7,0.925739534,0.998766684,0.794307173
P04792,HSPB1,0.694258856,0.922263613,0.019617064
P61604,HSPE1,0.762220189,0.160183468,0.612593631
P25685,DNAJB1,0.303698603,0.345755697,0.892891431
P41252,IARS,0.28970127,0.829077236,0.654770122
P13598,ICAM2,0.398923705,0.371372696,0.362457703
P41134,ID1,0.205782773,0.41939653,0.12439864
P50213,IDH3A,0.341064225,0.971537219,0.871652564
O43837,IDH3B,0.677550883,0.354312357,0.725581916
O60812,HNRNPCL1,0.355987567,0.72603975,0.603720935
Q8TEJ3,SH3RF3,0.241032659,0.998254604,0.446366414
Q562R1,ACTBL2,0.437455989,0.627066237,0.129899933
Q9BVA1,TUBB2B,0.563871041,0.704116325,0.654021107
Q13123,IK,0.608721291,0.250092373,0.515920388
P10145,CXCL8,0.025253315,0.718370215,0.290089247
Q12905,ILF2,0.322379934,0.621568576,0.582293837
P10914,IRF1,0.678091812,0.905239519,0.229025905
O14896,IRF6,0.906169702,0.949411223,0.704347218
P13612,ITGA4,0.080738826,0.940123199,0.13326616
P36406,TRIM23,0.23418091,0.492774814,0.932374906
P84077,ARF1,0.823504135,0.416080184,0.933932588
P43629,KIR3DL1,0.771915654,0.076093871,0.637308071
P43630,KIR3DL2,0.828715138,0.18091276,0.947965929
P08134,RHOC,0.829192268,0.579921906,0.887778764
P08865,RPSA,0.806924628,0.114784588,0.281131021
P16949,STMN1,0.155962406,0.098574243,0.067343126
Q14739,LBR,0.703823012,0.431518134,0.271881097
P07195,LDHB,0.649621668,0.666251771,0.916136361
P01130,LDLR,0.375585622,0.857952913,0.763949067
Q08380,LGALS3BP,0.225335876,0.348518577,0.588605829
P49916,LIG3,0.20276517,0.573629056,0.419942576
P49257,LMAN1,0.589188782,0.506619365,0.152112831
Q14444,CAPRIN1,0.495110443,0.094787018,0.201724095
P29966,MARCKS,0.973443192,0.419366412,0.117542103
P32121,ARRB2,0.400276616,0.110283324,0.569018435
O15105,SMAD7,0.465548395,0.757561386,0.097761841
P56192,MARS,0.315138493,0.709284682,0.27290136
Q07820,MCL1,0.028040421,0.514822462,0.343969543
P25205,MCM3,0.513446336,0.86903657,0.647327961
P33991,MCM4,0.162904071,0.623065841,0.807614075
Q14566,MCM6,0.82990438,0.76383962,0.15425719
P33993,MCM7,0.195285395,0.634141243,0.138571688
P55081,MFAP1,0.255383182,0.462080375,0.081970522
P14174,MIF,0.565615185,0.587831576,0.254316203
Q03164,KMT2A,0.8827405,0.905388477,0.562361619
Q03111,MLLT1,0.118371565,0.611039101,0.031532713
P51825,AFF1,0.244851265,0.997630085,0.928892184
P29372,MPG,0.047607557,0.301056759,0.896074765
Q8NAS9,C5orf17,0.843073559,0.842549152,0.517071374
Q5QNW6,HIST2H2BF,0.503363556,0.297832217,0.021358921
P43246,MSH2,0.975460977,0.023040817,0.112729645
P35579,MYH9,0.809904946,0.286196459,0.325431449
O14974,PPP1R12A,0.067640162,0.98598376,0.45636218
Q99733,NAP1L4,0.403612619,0.338541641,0.367813549
O43776,NARS,0.085226692,0.836332036,0.589740639
Q09161,NCBP1,0.715731294,0.281937133,0.807654201
P16333,NCK1,0.749961584,0.474549792,0.164825277
P53396,ACLY,0.466710496,0.28208764,0.668490453
O96000,NDUFB10,0.276113583,0.494847041,0.782468268
O00217,NDUFS8,0.764698222,0.383367504,0.183828681
P46934,NEDD4,0.042228748,0.746604987,0.321860071
Q15843,NEDD8,0.583301994,0.16779734,0.832415829
P12036,NEFH,0.465825817,0.093471573,0.548723255
P55769,SNU13,0.298150006,0.047678185,0.014772938
P15531,NME1,0.487768942,0.124509971,0.626380973
P30419,NMT1,0.391825894,0.463537424,0.023904132
P46087,NOP2,0.905181394,0.121690589,0.647730381
Q15233,NONO,0.630968726,0.620956203,0.298621543
P16615,ATP2A2,0.928457456,0.664247233,0.744562865
Q93084,ATP2A3,0.135914745,0.523564546,0.893112154
O43847,NRDC,0.96089267,0.338123648,0.064520259
P20020,ATP2B1,0.104928148,0.017085263,0.179432715
Q14980,NUMA1,0.068600869,0.620028407,0.530036458
Q99567,NUP88,0.192288043,0.207126713,0.282379428
Q8TED1,GPX8,0.02696912,0.360524673,0.756896826
P25705,ATP5A1,0.109631417,0.590462474,0.992572117
O43929,ORC4,0.731858951,0.687954334,0.848762358
O43913,ORC5,0.014026517,0.839517014,0.269215008
P13674,P4HA1,0.750356383,0.072709664,0.078778661
P07237,P4HB,0.660692208,0.485473394,0.61648316
P30086,PEBP1,0.220895222,0.044668849,0.364541998
P09958,FURIN,0.912649996,0.491713789,0.07938632
P29122,PCSK6,0.735474544,0.992242302,0.964577349
P43034,PAFAH1B1,0.64164679,0.963865958,0.879121945
Q06830,PRDX1,0.692098507,0.75149221,0.110960384
P06576,ATP5B,0.93605952,0.941084795,0.131118256
P57678,GEMIN4,0.434045021,0.790108362,0.170932943
O60260,PARK2,0.905094551,0.23611587,0.948189415
Q5TAQ9,DCAF8,0.998957627,0.47328567,0.674365821
Q9P2K5,MYEF2,0.776372804,0.771267339,0.84282563
Q5SSJ5,HP1BP3,0.233017331,0.670969702,0.317440045
Q15365,PCBP1,0.464497873,0.589251676,0.88341999
P05165,PCCA,0.47957707,0.775536363,0.933397221
P05166,PCCB,0.284560925,0.162173299,0.242734718
Q9Y3B2,EXOSC1,0.735159814,0.23276102,0.148831836
Q7Z4H3,HDDC2,0.99626415,0.498953149,0.353857077
Q6PKC3,TXNDC11,0.589730783,0.163938854,0.343482477
Q71UM5,RPS27L,0.291233137,0.32544968,0.187626426
Q9HD40,SEPSECS,0.87661307,0.137056338,0.191604623
P12004,PCNA,0.743803433,0.623109605,0.360223631
Q9NVW2,RLIM,0.884801069,0.755176658,0.969571452
Q9BT78,COPS4,0.271722696,0.886703027,0.076257534
Q9Y6G9,DYNC1LI1,0.755071583,0.235594759,0.795328359
Q53GQ0,HSD17B12,0.15861261,0.607160412,0.522944813
Q9BRK5,SDF4,0.924244748,0.788317819,0.238055421
Q9UK41,VPS28,0.703668556,0.392203909,0.629104829
Q9UII4,HERC5,0.118346009,0.211190815,0.37457804
Q9H0S4,DDX47,0.325551112,0.415554343,0.593829581
P29120,PCSK1,0.185451432,0.353989095,0.43843956
Q9BTY7,HGH1,0.19933567,0.986113796,0.874861223
Q92824,PCSK5,0.582007281,0.505671155,0.54251233
Q96RQ1,ERGIC2,0.875250127,0.653096596,0.913445131
Q9NPF0,CD320,0.082650158,0.753247494,0.827136607
P30049,ATP5D,0.581475993,0.574406464,0.588013884
Q9BRK0,REEP2,0.891708973,0.564317604,0.138854538
O95071,UBR5,0.002248407,0.421752154,0.174099034
Q6UW56,ATRAID,0.476677994,0.104060991,0.595184734
Q9Y262,EIF3L,0.41613539,0.548379786,0.964845536
Q9UJX3,ANAPC7,0.212039679,0.35400115,0.385445901
Q9UI08,EVL,0.29202375,0.232090545,0.793595826
Q9P035,HACD3,0.076530841,0.189851636,0.820008132
P24539,ATP5F1,0.964146357,0.716494159,0.360735374
Q9P2J5,LARS,0.659838098,0.118072652,0.378671315
Q8N6T7,SIRT6,0.765392052,0.015372869,0.480687043
Q4G0J3,LARP7,0.920640927,0.806548227,0.287232878
Q9Y2X3,NOP58,0.789362997,0.307024529,0.570822353
Q9Y282,ERGIC3,0.655727244,0.876364232,0.651373742
Q9Y383,LUC7L2,0.85595756,0.415377662,0.371041652
Q9Y3D0,FAM96B,0.945507483,0.01622555,0.280554066
Q9UHQ9,CYB5R1,0.956189186,0.228451992,0.942554304
Q9UBS4,DNAJB11,0.361793529,0.133715065,0.562115348
O95232,LUC7L3,0.024282236,0.850980617,0.351648286
Q9NZT1,CALML5,0.130659245,0.539102943,0.989540417
P24666,ACP1,0.902762235,0.322855885,0.797311777
Q99471,PFDN5,0.995706438,0.369779254,0.110282751
P17858,PFKL,0.935915445,0.62161395,0.256473971
Q01813,PFKP,0.374105298,0.174685218,0.920528907
P18859,ATP5J,0.426637316,0.65468231,0.305521188
Q00325,SLC25A3,0.422959578,0.317836695,0.585033423
P48426,PIP4K2A,0.020796307,0.239544559,0.34443879
P57075,UBASH3A,0.273098294,0.49457192,0.976338175
P53350,PLK1,0.946162913,0.682524928,0.210077088
Q02809,PLOD1,0.587993414,0.000908231,0.252806056
O00469,PLOD2,0.91438308,0.900049354,0.706413097
Q04941,PLP2,0.826447376,0.655192072,0.422904912
O43660,PLRG1,0.936323836,0.478774251,0.644288507
O15162,PLSCR1,0.754020338,0.904196101,0.149489905
O95983,MBD3,0.320378456,0.005549715,0.304822133
Q15904,ATP6AP1,0.558866913,0.308662403,0.237631618
P48047,ATP5O,0.892529434,0.809353005,0.388417251
Q9BRX2,PELO,0.216621222,0.614836977,0.760162788
Q9P2I0,CPSF2,0.553733749,0.004619413,0.997047121
Q9NRF9,POLE3,0.448231438,0.783803362,0.905306446
Q9H307,PNN,0.979297157,0.416432152,0.444293917
P49005,POLD2,0.05897752,0.632170156,0.950547016
Q15165,PON2,0.923766438,0.679302951,0.47444091
Q9NVM4,PRMT7,0.392442707,0.750430444,0.854986067
Q9Y6V7,DDX49,0.665582024,0.283985596,0.304907243
P46100,ATRX,0.055263591,0.229919298,0.842956651
Q9NXG6,P4HTM,0.555174747,0.309889698,0.519453355
Q9BVK6,TMED9,0.723111034,0.017880374,0.725241632
Q86YP4,GATAD2A,0.965253506,0.590378272,0.841335142
Q5T3I0,GPATCH4,0.325936216,0.399170859,0.73895375
Q9NXF7,DCAF16,0.131171298,0.670786908,0.904334063
Q8IWZ3,ANKHD1,0.739836174,0.469069185,0.690717006
Q9NX40,OCIAD1,0.778634854,0.457851973,0.037255731
Q9NX00,TMEM160,0.041588525,0.827230369,0.06357279
O15355,PPM1G,0.219704398,0.593005275,0.564859765
Q9NWW5,CLN6,0.197873862,0.465915131,0.38593661
Q9NWM8,FKBP14,0.02065838,0.480244541,0.354467284
Q96EP0,RNF31,0.123276312,0.833045978,0.834581418
Q9H583,HEATR1,0.118866083,0.115006204,0.050544346
Q8N5C6,SRBD1,0.781355938,0.51225811,0.384709213
Q9NVV0,TMEM38B,0.386786462,0.463614504,0.793384428
P62714,PPP2CB,0.495088695,0.113222315,0.013534055
Q96LA8,PRMT6,0.595296947,0.756903526,0.992090302
Q86U86,PBRM1,0.008252125,0.016457653,0.230634002
Q9NVI7,ATAD3A,0.501886295,0.111360475,0.623146483
Q9H0A0,NAT10,0.916916259,0.03524561,0.511406034
Q9H8S9,MOB1A,0.686438398,0.828329344,0.834842726
Q2TAY7,SMU1,0.034200636,0.7391518,0.266845809
Q86WR0,CCDC25,0.864041455,0.66160769,0.430885766
Q8WXF1,PSPC1,0.355268618,0.63647468,0.693856809
Q8TDN6,BRIX1,0.184554826,0.754574628,0.386846114
Q96F15,GIMAP5,0.573250537,0.847870601,0.006296715
P53041,PPP5C,0.000287946,0.402396069,0.52612371
O00743,PPP6C,0.424640567,0.472761061,0.634422506
Q96GN5,CDCA7L,0.736595083,0.236706341,0.217317458
Q9NXG2,THUMPD1,0.863804862,0.404062535,0.083596195
Q9C0C7,AMBRA1,0.307772922,0.289114258,0.835816077
Q9BV68,RNF126,0.600044459,0.611383805,0.623107698
Q96P70,IPO9,0.401063445,0.640187042,0.067725933
Q9NVP2,ASF1B,0.263094711,0.619662409,0.057844845
Q6VMQ6,ATF7IP,0.12389819,0.553935438,0.137731043
Q9HBG6,IFT122,0.070375654,0.726233987,0.441316897
Q9BTM1,H2AFJ,0.712592369,0.762730391,0.80264399
Q96IV0,NGLY1,0.496195398,0.821662117,0.195772587
